# RETAILMIND AI - SYNTHETIC DATASET
date,sku,product_name,category,units_sold,selling_price,promotion,holiday,festival,stock_available
2025-01-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,33,245.00,0,0,,67
2025-01-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,17
2025-01-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,208.25,1,0,,126
2025-01-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,80,208.25,1,0,,46
2025-01-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,95,208.25,1,0,,111
2025-01-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,55,208.25,1,1,,56
2025-01-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,63,208.25,1,0,,153
2025-01-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,33,245.00,0,0,,120
2025-01-29,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,80
2025-01-30,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,48
2025-01-31,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,45,245.00,0,0,,163
2025-02-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,53,245.00,0,0,,110
2025-02-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,56,245.00,0,0,,54
2025-02-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,54,245.00,0,0,,160
2025-02-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,122
2025-02-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,79
2025-02-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,39
2025-02-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,59,245.00,0,0,,140
2025-02-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,57,245.00,0,0,,83
2025-02-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,53,245.00,0,0,,30
2025-02-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,33,245.00,0,0,,157
2025-02-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,33,245.00,0,0,,124
2025-02-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,23,245.00,0,0,,101
2025-02-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,58
2025-02-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,45,245.00,0,0,,13
2025-02-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,55,245.00,0,0,,118
2025-02-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,68
2025-02-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,36,245.00,0,0,,32
2025-02-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,155
2025-02-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,29,245.00,0,0,,126
2025-02-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,42,245.00,0,0,,84
2025-02-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,47,245.00,0,0,,37
2025-02-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,0
2025-02-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,54,245.00,0,0,,106
2025-02-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,72
2025-02-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,25,245.00,0,0,,47
2025-02-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,15
2025-02-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,141
2025-02-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,52,245.00,0,0,,89
2025-03-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,45,245.00,0,0,,44
2025-03-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,153
2025-03-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,29,245.00,0,0,,124
2025-03-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,31,245.00,0,0,,93
2025-03-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,53
2025-03-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,172
2025-03-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,60,245.00,0,0,,112
2025-03-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,60,245.00,0,0,,52
2025-03-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,56,245.00,0,0,,156
2025-03-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,116
2025-03-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,33,245.00,0,0,,83
2025-03-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,44
2025-03-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,30,245.00,0,0,,174
2025-03-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,91,245.00,0,0,Holi,83
2025-03-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,68,245.00,0,0,Holi,15
2025-03-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,132
2025-03-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,89
2025-03-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,57
2025-03-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,36,245.00,0,0,,21
2025-03-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,141
2025-03-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,93
2025-03-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,73,245.00,0,0,,20
2025-03-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,72,208.25,1,0,,108
2025-03-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,58,208.25,1,0,,50
2025-03-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,59,208.25,1,0,,151
2025-03-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,24,245.00,0,0,,127
2025-03-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,46,245.00,0,0,,81
2025-03-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,52,245.00,0,0,,29
2025-03-29,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,29,245.00,0,0,,0
2025-03-30,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,120
2025-03-31,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,63,245.00,0,0,Eid al-Fitr,57
2025-04-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,46,245.00,0,0,,171
2025-04-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,45,245.00,0,0,,126
2025-04-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,91
2025-04-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,44,245.00,0,0,,47
2025-04-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,55,245.00,0,0,,152
2025-04-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,62,245.00,0,0,,90
2025-04-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,24,245.00,0,0,,66
2025-04-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,34
2025-04-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,156
2025-04-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,116
2025-04-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,65
2025-04-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,49,245.00,0,0,,16
2025-04-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,59,245.00,0,0,,117
2025-04-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,83
2025-04-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,35
2025-04-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,28,245.00,0,0,,167
2025-04-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,36,245.00,0,0,,131
2025-04-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,45,245.00,0,0,,86
2025-04-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,68,245.00,0,0,,18
2025-04-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,127
2025-04-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,86
2025-04-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,51
2025-04-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,176
2025-04-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,135
2025-04-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,52,245.00,0,0,,83
2025-04-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,65,245.00,0,0,,18
2025-04-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,62,245.00,0,0,,116
2025-04-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,36,245.00,0,0,,80
2025-04-29,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,45
2025-04-30,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,171
2025-05-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,133
2025-05-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,55,245.00,0,0,,78
2025-05-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,38
2025-05-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,150
2025-05-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,30,245.00,0,0,,120
2025-05-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,49,245.00,0,0,,71
2025-05-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,30
2025-05-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,158
2025-05-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,60,245.00,0,0,,98
2025-05-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,50
2025-05-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,0
2025-05-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,0,245.00,0,0,,0
2025-05-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,0,245.00,0,0,,0
2025-05-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,0,245.00,0,0,,0
2025-05-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,123
2025-05-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,115,208.25,1,0,,8
2025-05-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,71,208.25,1,0,,97
2025-05-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,70,208.25,1,0,,27
2025-05-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,63,208.25,1,0,,124
2025-05-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,26,245.00,0,0,,98
2025-05-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,42,245.00,0,0,,56
2025-05-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,178
2025-05-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,65,245.00,0,0,,113
2025-05-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,67,245.00,0,0,,46
2025-05-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,168
2025-05-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,128
2025-05-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,31,245.00,0,0,,97
2025-05-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,58
2025-05-29,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,168
2025-05-30,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,54,245.00,0,0,,114
2025-05-31,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,64
2025-06-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,42,245.00,0,0,,22
2025-06-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,22,245.00,0,0,,0
2025-06-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,42,245.00,0,0,,118
2025-06-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,30,245.00,0,0,,88
2025-06-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,50
2025-06-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,176
2025-06-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,65,245.00,0,0,,111
2025-06-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,50,245.00,0,0,,61
2025-06-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,22
2025-06-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,28,245.00,0,0,,154
2025-06-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,115
2025-06-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,78
2025-06-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,64,245.00,0,0,,14
2025-06-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,56,245.00,0,0,,118
2025-06-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,56,245.00,0,0,,62
2025-06-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,23
2025-06-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,29,245.00,0,0,,154
2025-06-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,116
2025-06-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,36,245.00,0,0,,80
2025-06-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,62,245.00,0,0,,18
2025-06-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,57,245.00,0,0,,121
2025-06-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,73
2025-06-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,36
2025-06-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,33,245.00,0,0,,163
2025-06-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,26,245.00,0,0,,137
2025-06-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,40,245.00,0,0,,97
2025-06-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,46,245.00,0,0,,51
2025-06-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,0
2025-06-29,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,0,245.00,0,0,,0
2025-06-30,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,112
2025-07-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,78
2025-07-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,39
2025-07-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,167
2025-07-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,116
2025-07-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,59,245.00,0,0,,57
2025-07-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,43,245.00,0,0,,174
2025-07-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,142
2025-07-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,108
2025-07-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,67
2025-07-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,32
2025-07-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,66,245.00,0,0,,126
2025-07-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,44,245.00,0,0,,82
2025-07-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,34
2025-07-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,153
2025-07-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,34,245.00,0,0,,119
2025-07-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,82
2025-07-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,47
2025-07-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,66,245.00,0,0,,141
2025-07-19,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,38,245.00,0,0,,103
2025-07-20,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,55
2025-07-21,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,183
2025-07-22,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,29,245.00,0,0,,154
2025-07-23,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,42,245.00,0,0,,112
2025-07-24,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,31,245.00,0,0,,81
2025-07-25,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,54,245.00,0,0,,27
2025-07-26,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,41,245.00,0,0,,146
2025-07-27,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,59,245.00,0,0,,87
2025-07-28,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,55
2025-07-29,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,36,245.00,0,0,,179
2025-07-30,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,35,245.00,0,0,,144
2025-07-31,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,32,245.00,0,0,,112
2025-08-01,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,55,245.00,0,0,,57
2025-08-02,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,166
2025-08-03,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,49,245.00,0,0,,117
2025-08-04,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,44,245.00,0,0,,73
2025-08-05,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,37,245.00,0,0,,36
2025-08-06,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,22,245.00,0,0,,174
2025-08-07,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,135
2025-08-08,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,61,245.00,0,0,,74
2025-08-09,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,62,245.00,0,0,Raksha Bandhan,12
2025-08-10,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,48,245.00,0,0,,124
2025-08-11,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,39,245.00,0,0,,85
2025-08-12,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,22,245.00,0,0,,63
2025-08-13,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,30,245.00,0,0,,33
2025-08-14,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,47,245.00,0,0,,146
2025-08-15,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,65,245.00,0,1,,81
2025-08-16,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,59,245.00,0,0,,22
2025-08-17,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,51,245.00,0,0,,131
2025-08-18,SKU-GROC-001,Aashirvaad Whole Wheat Atta 5kg,Atta & Flours,24,245.00,0,0,,107
